LineNum,LineNum,Total Initial Tripped Lines,Total Tripped Lines,Total Shedding Load Amount,Total Tripped Generators,Replication Index
1,2,6,8,6.89,2,21
1,2,7,8,15.48,3,22
1,2,7,10,22.83,1,23
1,6,7,8,1.044,2,1
1,6,8,0,0.0,0,2
2,10,8,9,1.044,2,1
2,10,6,11,26.634999999999998,6,2
2,10,9,12,14.29,5,3
2,10,7,11,31.975,3,4
2,10,8,0,0.0,0,5
12,15,7,8,1.0130000000000001,2,1
12,15,7,0,0.0,0,2
9,13,6,9,18.805,3,26
9,13,5,0,0.0,0,27
1,5,2,24,43.62499999999999,0,6
1,5,6,0,0.0,0,7
2,17,9,9,3.29,0,12
2,17,5,0,0.0,0,13
12,16,8,9,1.044,2,1
12,16,8,0,0.0,0,2
3,22,7,0,0.0,0,1
