LineNum,Total Initial Tripped Lines,Total Tripped Lines,Total Shedding Load Amount,Total Tripped Generators,Replication Index
17,8,9,1.044,2,1
17,8,13,28.352999999999998,6,2
5,7,8,1.044,2,1
5,8,13,28.352999999999998,6,2
5,9,11,5.709999999999999,4,3
6,7,8,1.044,2,1
6,8,13,28.352999999999998,6,2
6,9,11,5.709999999999999,4,3
7,7,8,1.044,2,1
7,7,11,20.418000000000003,5,2
7,8,10,5.709999999999999,4,3
8,8,9,1.044,2,1
8,8,13,28.352999999999998,6,2
8,8,11,18.29,5,3
9,8,9,1.044,2,1
9,7,11,25.898,5,2
9,8,10,5.709999999999999,4,3
10,8,9,1.044,2,1
10,7,34,42.29500000000001,6,2
10,9,11,5.709999999999999,4,3
11,8,9,1.044,2,1
11,8,13,28.352999999999998,6,2
11,8,10,7.401,4,3
12,8,9,1.044,2,1
12,8,13,28.352999999999998,6,2
12,9,11,5.709999999999999,4,3
17,8,9,1.044,2,3
17,8,13,28.352999999999998,6,4
17,8,12,8.37,4,5
18,8,9,1.044,2,1
18,8,13,28.352999999999998,6,2
18,9,11,5.709999999999999,4,3
19,7,8,1.292,2,1
19,8,13,28.352999999999998,6,2
19,8,10,6.89,4,3
20,7,8,10.219999999999999,1,1
20,7,29,34.5995,4,2
20,9,11,5.709999999999999,4,3
21,8,9,1.044,2,1
21,8,13,28.352999999999998,6,2
21,8,10,13.05,4,3
22,8,9,1.044,2,1
22,7,8,11.135000000000002,1,2
22,9,11,5.709999999999999,4,3
